form,pos,translation
madu,noun,person
fegin,noun,river
barkan,noun,tree
gosim,noun,stone
radun,noun,sky
dunik,noun,village
sewal,noun,animal
jorek,noun,wind
lamuq,noun,path
fosir,noun,thought
miradu,verb,run
talek,verb,see
gusin,verb,carry
wenok,verb,cut
jadir,verb,sleep
mosiq,verb,speak
hirab,verb,burn
rakun,verb,fall
belot,verb,build
zamik,verb,open
safun,adj,bright
yorek,adj,heavy
dulam,adj,small
rinak,adj,cold
gawel,adj,new
senij,adj,deep
joram,adj,quick
melun,adj,quiet
bazur,adj,dull
wafis,adj,rough
qi,pronoun,I
ne,pronoun,you
mu,pronoun,it
lin,pronoun,we
dey,pronoun,they
qa,adposition,to
gun,adposition,in
zu,adposition,with
fe,adposition,from
ja,adposition,on
wuz,pronoun,this
hin,pronoun,that
zir,pronoun,who
sok,pronoun,what
mirij,noun,runner
hiris,noun,burning
belok,noun,building
lamyaz,adj,related to paths
gusfaj,adj,suitable for carrying
